"Hierarchy","Chart","Block","Block comment","Create block icon","Block icon","OCM possible","Readback allowed","Block group","Block type",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","I03","Digital Input","1","","0","1","","CH_DI",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","I04","Digital Input","1","","0","1","","CH_DI",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","M101","insert tape (PB)","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","M102","turn up (PB)","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","M110","control circuit on","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","M111","fault turn up unit","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","M112","tape in position","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","M113","turn up completed","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","M311","insert tape","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","MSG","21- tape turn up system control","1","WCC_Stat","1","1","","VP_MSG",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","OP_TRIG_01","21- acknowledge","1","","1","1","","OP_TRIG",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","OR_0101","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","OR_0111","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","OR_0112","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","Q01","Digital Output","1","","0","1","","CH_DO",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","Q02","Digital Output","1","","0","1","","CH_DO",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","Q03","Digital Output","1","","0","1","","CH_DO",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","S01_1_I01","Digital Input","1","","0","1","","CH_DI",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","S01_2_I02","Digital Input","1","","0","1","","CH_DI",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","TOn_0121","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","TP_0111","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01XK05K01","WR_BO","21- tape turn up system control","1","","1","1","","VP_WR_BO",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","AND_0101","Logical AND with 8 inputs","1","","0","1","","And08",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","AND_0131","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","AND_0132","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","AND_0141","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","AND_0142","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","AND_0143","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","M301","thrd. TU syst. to turn up pos.","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","M302","thrd. TU syst. to turn up pos.","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","M311","TU syst. turn up position","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","M312","TU syst. to turn up position","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","M313","TU TU syst. to turn up position","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","M321","TU syst. park pos.","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","M322","TU syst. to park position","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","M323","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","M333","cut web","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","M337","web cut occured","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","M341","turn up with goose neck","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","M342","nordic turn up","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","M344","turn up with IBS tape","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","OP_TRIG_01","21- turn up with goose neck","1","","1","1","","OP_TRIG",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","OP_TRIG_02","21- nordic turn up","1","","1","1","","OP_TRIG",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","OR_0101","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","OR_0102","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","OR_0103","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","OR_0121","Logical OR with 8 inputs","1","","0","1","","Or08",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","OR_0131","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","OR_0141","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","OR_0142","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","RS_0101","RS Flipflop, Reset forced","1","","0","1","","VP_RS_FF",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","RS_0141","RS Flipflop, Reset forced","1","","0","1","","VP_RS_FF",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","TP_0131","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","TP_0132","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","TP_0141","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01XK00K01","WR_BO","21- reel spool turn up unit","1","","1","1","","VP_WR_BO",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01_S","AND_7101","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01_S","AND_7102","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01_S","CHN_FAULT","F_:OR 4 Inputs","1","","0","1","","F_OR4",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01_S","CHN_WARN","Channel Warning","1","","0","1","","F_OR4",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01_S","I01","F_:Fail-safe Channel Driver Digital Input","1","","0","1","","F_CH_DI",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01_S","I02","F_:Fail-safe Channel Driver Digital Input","1","","0","1","","F_CH_DI",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01_S","M611","channel 1 ok FS (GS)","1","","0","1","","F_AND4",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01_S","M612","channel 1 ok DS (GS)","1","","0","1","","F_AND4",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01_S","M801","fault receiver FS","1","","0","1","","F_OR4",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01_S","M802","entrance reel ok","1","","0","1","","F_AND4",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","AND_0101","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","AND_0111","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","CHN_FAULT","Logical OR with 8 inputs","1","","0","1","","Or08",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","CHN_WARN","Logical OR with 8 inputs","1","","0","1","","Or08",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","CLK_0101","clock pulse generator","1","","0","1","","VP_CLOCK",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","FS_CHN_FAULT","F_BOOL to BOOL Converter","1","","0","1","","F_FBO_BO",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","FS_CHN_WARN","F_BOOL to BOOL Converter","1","","0","1","","F_FBO_BO",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","M201","fault receiver FS","1","","0","1","","F_FBO_BO",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","M202","entrance reel ok","1","","0","1","","F_FBO_BO",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","M211","channel 1 ok FS (GS)","1","","0","1","","F_FBO_BO",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","M212","channel 1 ok DS (GS)","1","","0","1","","F_FBO_BO",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","M301","entrance reel ok","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","MSG","21- secondary area","1","WCC_Stat","1","1","","VP_MSG",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","OP_TRIG_01","21- acknowledge","1","","1","1","","OP_TRIG",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","OR_0101","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","Q01","Digital Output","1","","0","1","","CH_DO",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","SRP_H_Q01","Digital Output","1","","0","1","","CH_DO",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","TOn_0101","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01TG50K01","WR_BO","21- secondary area","1","","1","1","","VP_WR_BO",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","AND_0101","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","AND_0111","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","AND_0121","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","AND_0122","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","AND_0123","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","AND_0124","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","CHN_FAULT","Logical OR with 8 inputs","1","","0","1","","Or08",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","CHN_WARN","Logical OR with 8 inputs","1","","0","1","","Or08",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","DA01","timeout FB lowered","1","","0","1","","VP_RS_FF",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","DA02","limit switch fault lowered","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","DA03","lowered not syn.","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","I01","Digital Input","1","","0","1","","CH_DI",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","I02","Digital Input","1","","0","1","","CH_DI",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","M111","lowered FS (GS)","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","M112","lowered DS (GS)","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","M301","lowered","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","M331","command on","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","MSG","21- end position brake WSRD swivelling","1","WCC_Stat","1","1","","VP_MSG",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","OP_TRIG_01","21- acknowledge","1","","1","1","","OP_TRIG",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","OR_0111","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","OR_0121","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","OR_0122","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","OR_0123","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","Q01","Digital Output","1","","0","1","","CH_DO",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","RE_0111","raising edge","1","","0","1","","VP_R_EDGE",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","TOn_0101","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","TOn_0111","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","TOn_0121","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01TF15K18","WR_BO","21- end position brake WSRD swivelling","1","","1","1","","VP_WR_BO",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","AND_0101","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","AND_0111","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","AND_0112","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","AND_0113","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","AND_0114","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","AND_0115","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","AND_0116","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","AND_0121","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","AND_0131","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","AND_0132","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","AND_0133","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","AND_0134","Logical AND with 4 inputs","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","CHN_FAULT","Logical OR with 8 inputs","1","","0","1","","Or08",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","CHN_WARN","Logical OR with 8 inputs","1","","0","1","","Or08",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","DA01","timeout FB lowered","1","","0","1","","VP_RS_FF",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","DA02","limit switch fault lowered","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","DA03","lowered not syn.","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","I01","Digital Input","1","","0","1","","CH_DI",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","I02","Digital Input","1","","0","1","","CH_DI",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","M111","lowered FS (GS)","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","M112","lowered DS (GS)","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","M301","lowered","1","","0","1","","And04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","M331","command on","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","MSG","21- end position brake ASRD swivelling","1","WCC_Stat","1","1","","VP_MSG",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","OP_TRIG_01","21- acknowledge","1","","1","1","","OP_TRIG",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","OR_0111","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","OR_0112","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","OR_0113","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","OR_0114","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","OR_0121","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","OR_0131","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","OR_0132","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","OR_0133","Logical OR with 4 inputs","1","","0","1","","Or04",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","Q01","Digital Output","1","","0","1","","CH_DO",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","RE_0121","raising edge","1","","0","1","","VP_R_EDGE",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","SH01_1_I01","Digital Input","1","","0","1","","CH_DI",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","SH01_1_I02","Digital Input","1","","0","1","","CH_DI",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","TOn_0101","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","TOn_0111","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","TOn_0112","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","TOn_0121","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","TOn_0131","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","TP_0111","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","TP_0112","monoflop, On/Off-delay","1","","0","1","","VP_TIMER",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","WR_BO","21- end position brake ASRD swivelling","1","","1","1","","VP_WR_BO",
"MASTER REEL\Secondary area & TU\","M1QV01TF14K18","Y11_a_Q01","Digital Output","1","","0","1","","CH_DO",
"MASTER REEL\Secondary area & TU\","M1QV01TF07K18_S","AND_7101","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"MASTER REEL\Secondary area & TU\","M1QV01TF07K18_S","AND_7102","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"MASTER REEL\Secondary area & TU\","M1QV01TF07K18_S","AND_7103","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"MASTER REEL\Secondary area & TU\","M1QV01TF07K18_S","AND_7104","F_:AND 4 Inputs","1","","0","1","","F_AND4",
"MASTER REEL\Secondary area & TU\","M1QV01TF07K18_S","M731","SA load","1","","0","1","","F_BO_FBO",
"MASTER REEL\Secondary area & TU\","M1QV01TF07K18_S","M732","command unload","1","","0","1","","F_BO_FBO",
"MASTER REEL\Secondary area & TU\","M1QV01TF07K18_S","M736","release","1","","0","1","","F_BO_FBO",
"MASTER REEL\Secondary area & TU\","M1QV01TF07K18_S","M811","release eject speed max","1","","0","1","","F_OR4",
"MASTER REEL\Secondary area & TU\","M1QV01TF07K18_S","Q01","F_:Fail-safe Channel Driver Digital Output","1","","0","1","","F_CH_DO",
